Campaign_ID,Company,Campaign_Type,Channel_Used,Target_Audience,ROI,Predicted_ROI,ROI_Gap,Anomaly
169069,TechCorp,Influencer,Google Ads,Men 25-34,6.27,6.274566351520491,-0.004566351520491452,Underperformer
134526,DataTech Solutions,Search,Facebook,Men 25-34,6.27,6.274345264273747,-0.0043452642737475955,Underperformer
48938,Innovate Industries,Social Media,Website,Women 35-44,6.27,6.274296122679783,-0.004296122679783743,Underperformer
141997,NexGen Systems,Influencer,Instagram,Women 25-34,6.27,6.274293416696334,-0.004293416696333985,Underperformer
152574,DataTech Solutions,Display,YouTube,Women 35-44,6.27,6.274258030769416,-0.004258030769416443,Underperformer
129118,NexGen Systems,Influencer,Instagram,Women 35-44,6.27,6.274252094042542,-0.004252094042542787,Underperformer
115557,NexGen Systems,Email,Email,Women 25-34,6.27,6.274235725685356,-0.004235725685356684,Underperformer
120728,TechCorp,Social Media,YouTube,Men 18-24,6.27,6.274232650308102,-0.004232650308102492,Underperformer
11861,NexGen Systems,Email,Facebook,Women 25-34,6.27,6.27422696931947,-0.004226969319470086,Underperformer
12604,DataTech Solutions,Email,Instagram,Men 18-24,6.27,6.274212501278433,-0.004212501278433756,Underperformer
189472,DataTech Solutions,Social Media,Google Ads,Women 35-44,6.27,6.27421195316468,-0.00421195316468026,Underperformer
186942,NexGen Systems,Search,Website,Men 18-24,6.27,6.274209862623944,-0.004209862623944183,Underperformer
180680,DataTech Solutions,Influencer,Website,All Ages,6.27,6.274207199472862,-0.0042071994728623,Underperformer
184179,DataTech Solutions,Display,Website,Women 35-44,6.27,6.274201159518484,-0.004201159518484765,Underperformer
92599,TechCorp,Email,Email,Women 25-34,6.27,6.274197457844969,-0.004197457844969499,Underperformer
176694,TechCorp,Search,Facebook,Women 35-44,6.27,6.274194716835497,-0.004194716835497658,Underperformer
193464,DataTech Solutions,Search,Website,All Ages,6.27,6.274194006536361,-0.004194006536361705,Underperformer
36401,Innovate Industries,Influencer,YouTube,All Ages,6.27,6.274193311300338,-0.004193311300338287,Underperformer
23955,TechCorp,Display,YouTube,All Ages,6.27,6.274184789380454,-0.004184789380454745,Underperformer
17232,DataTech Solutions,Social Media,Website,All Ages,6.27,6.274184134277874,-0.004184134277874563,Underperformer
195957,Alpha Innovations,Display,Google Ads,Men 18-24,6.27,6.2741786195668405,-0.004178619566840958,Underperformer
68845,Innovate Industries,Social Media,Instagram,All Ages,6.27,6.27417574471045,-0.0041757447104506795,Underperformer
78587,NexGen Systems,Display,Facebook,Men 25-34,6.27,6.274171130562676,-0.004171130562676595,Underperformer
49233,TechCorp,Email,Website,Women 25-34,6.27,6.274166789170518,-0.004166789170518825,Underperformer
40281,DataTech Solutions,Email,Google Ads,Men 25-34,6.27,6.274165634627227,-0.004165634627227632,Underperformer
62689,NexGen Systems,Search,Facebook,Men 25-34,6.27,6.274164186589523,-0.004164186589523666,Underperformer
52743,Alpha Innovations,Social Media,Email,Women 25-34,6.27,6.274163715055604,-0.0041637150556042,Underperformer
46187,DataTech Solutions,Search,Instagram,Men 18-24,6.27,6.274159573102627,-0.0041595731026271565,Underperformer
111306,NexGen Systems,Display,Email,Women 35-44,6.27,6.274156630487272,-0.004156630487272217,Underperformer
19773,TechCorp,Display,YouTube,Women 35-44,6.27,6.2741547365089225,-0.0041547365089229515,Underperformer
8849,NexGen Systems,Influencer,Instagram,Men 18-24,6.27,6.274151203204998,-0.004151203204998843,Underperformer
49809,DataTech Solutions,Display,Google Ads,All Ages,6.27,6.274150767263498,-0.004150767263498167,Underperformer
134640,TechCorp,Search,YouTube,Men 18-24,6.12,6.124148435418351,-0.004148435418350971,Underperformer
146190,Innovate Industries,Influencer,Google Ads,All Ages,6.27,6.274146366994848,-0.004146366994848272,Underperformer
103913,TechCorp,Social Media,YouTube,Men 18-24,6.27,6.274145539169557,-0.0041455391695572885,Underperformer
5455,Alpha Innovations,Search,Facebook,Women 25-34,6.27,6.2741434818823905,-0.004143481882390887,Underperformer
138582,NexGen Systems,Search,Facebook,All Ages,6.27,6.274139704883547,-0.004139704883547424,Underperformer
118265,NexGen Systems,Influencer,Facebook,Women 35-44,6.27,6.274138859330777,-0.0041388593307774,Underperformer
79054,NexGen Systems,Influencer,YouTube,Women 25-34,6.27,6.27413872777822,-0.004138727778220108,Underperformer
90517,Alpha Innovations,Search,Facebook,Men 25-34,6.27,6.274138680511026,-0.0041386805110263936,Underperformer
43406,TechCorp,Display,Google Ads,All Ages,6.27,6.274138487424297,-0.0041384874242975656,Underperformer
36662,Innovate Industries,Social Media,YouTube,Women 35-44,6.27,6.274134025764436,-0.004134025764436444,Underperformer
104743,Innovate Industries,Search,Email,Men 25-34,6.27,6.274131746746533,-0.00413174674653316,Underperformer
140333,DataTech Solutions,Display,Email,Women 25-34,6.27,6.274131734581333,-0.004131734581333646,Underperformer
79899,Innovate Industries,Email,Google Ads,Women 25-34,6.27,6.274131498535315,-0.004131498535315359,Underperformer
4728,NexGen Systems,Display,Google Ads,Women 35-44,6.27,6.274129956236666,-0.004129956236666565,Underperformer
